,site_id,village,edu_age_15up_total,EducationWeight,Merriage/NoMerriage,ordinary/single,FamilyWeight,18-38,39-59,60-80,81-100,Total_Ratio,18-59/60-100,Agree_x,Useful_x,Agree_y,Useful_y
2869,新北市淡水區,油車里,5116,3.9861219702892887,3.1101639344262293,1.6101123595505618,3.396470081790788,1643.0,1969.0,1189.0,148.0,0.9410141428078648,1.968074358456254,1096,2558,1798,2541
2870,新北市淡水區,清文里,1123,3.869100623330365,2.9159663865546217,1.3364485981308412,3.514,361.0,417.0,283.0,46.0,1.0453020134228188,2.012646793134598,301,578,407,566
2871,新北市淡水區,福德里,6286,4.360801781737194,3.2569832402234637,1.009478672985782,3.2214033018867925,1742.0,2797.0,1431.0,170.0,0.9157488986784141,2.0047231270358306,1299,3357,2234,3301
2872,新北市淡水區,竹圍里,5780,4.217474048442907,3.045480386583286,1.154124457308249,3.2364796775277123,1695.0,2403.0,1327.0,162.0,0.8161216293746414,1.992124574906032,1219,3046,2084,3061
2873,新北市淡水區,竿蓁里,9509,4.441055841834052,3.1270118964310707,0.8982813048053314,3.2043606799704363,2720.0,4018.0,2368.0,253.0,0.8538113470240167,2.016454749439043,1766,4730,3235,4752
2874,新北市淡水區,義山里,2589,3.5013518733101585,3.3347280334728033,1.7043269230769231,3.504888888888889,873.0,975.0,577.0,94.0,1.1027900146842877,1.9571258435887258,503,1227,904,1201
2875,新北市淡水區,興仁里,1591,3.6568196103079824,3.4674418604651165,1.4377224199288257,3.5284671532846716,466.0,565.0,403.0,95.0,1.130876747141042,2.0830608240680184,348,754,538,738
2876,新北市淡水區,草東里,743,4.001345895020188,3.2018348623853212,1.0588235294117647,3.5,225.0,246.0,217.0,34.0,1.0723514211886305,2.0831024930747923,217,402,301,404
2877,新北市淡水區,蕃薯里,1011,3.7299703264094957,3.675889328063241,1.2152466367713004,3.374493927125506,277.0,421.0,253.0,35.0,1.2880324543610548,2.046653144016227,206,450,337,445
2878,新北市淡水區,賢孝里,1525,3.5101639344262296,3.692105263157895,1.4884615384615385,3.6630602782071096,457.0,600.0,332.0,77.0,1.1454081632653061,2.019781718963165,308,724,552,712
2879,新北市淡水區,鄧公里,5607,4.318173711432139,3.0568383658969807,1.6979591836734693,3.33018154311649,1782.0,2396.0,1139.0,143.0,0.8827178729689807,1.9346153846153846,1248,2937,1948,2943
2880,新北市淡水區,長庚里,1395,3.893189964157706,3.2655086848635237,1.3992537313432836,3.469673405909798,385.0,499.0,404.0,61.0,0.9841897233201581,2.1045218680504076,348,727,520,727
2881,新北市深坑區,土庫里,2810,3.8224199288256226,3.066666666666667,1.8321342925659472,3.557154953429297,944.0,1140.0,548.0,79.0,1.0141570141570142,1.9122095167834747,608,1360,921,1322
2882,新北市深坑區,埔新里,5768,4.013522884882108,3.088928150765607,1.62,3.4099236641221373,2020.0,2451.0,1013.0,104.0,0.9428741445998214,1.8570150322118826,1401,3025,2145,3078
2883,新北市深坑區,昇高里,2000,3.88,2.9157566302652107,1.9442379182156133,3.640151515151515,667.0,758.0,457.0,66.0,1.112294288480155,1.959958932238193,461,1085,754,1059
2884,新北市深坑區,深坑里,3150,3.92,2.9843423799582465,1.4664371772805507,3.4054431263084437,1016.0,1244.0,660.0,87.0,0.97709049255441,1.93947455936149,696,1546,1042,1515
2885,新北市深坑區,萬福里,2532,3.863349131121643,2.9647355163727958,1.277673545966229,3.367380560131796,813.0,999.0,579.0,77.0,1.0292397660818713,1.967585089141005,568,1217,846,1214
2886,新北市深坑區,萬順里,2376,3.8228114478114477,2.9117259552042163,1.2262626262626262,3.4646098003629766,758.0,959.0,512.0,55.0,1.003147128245476,1.9404553415061296,548,1216,863,1236
2887,新北市深坑區,賴仲里,2131,4.096198967620835,3.1346153846153846,1.2841409691629957,3.3105110896817744,623.0,941.0,457.0,68.0,1.0281810418445774,1.9856390617520345,522,1211,823,1184
2888,新北市深坑區,阿柔里,582,3.5790378006872854,3.1882352941176473,1.5168539325842696,3.892857142857143,175.0,213.0,144.0,22.0,1.2277580071174377,2.023465703971119,161,319,234,320
2889,新北市烏來區,信賢里,513,3.5692007797270957,3.455223880597015,1.6025641025641026,3.832512315270936,170.0,175.0,123.0,17.0,0.9271523178807947,1.97319587628866,125,259,220,262
2890,新北市烏來區,孝義里,231,3.6363636363636362,3.6166666666666667,3.272727272727273,5.553191489361702,72.0,85.0,64.0,7.0,1.0901639344262295,2.026315789473684,59,122,94,124
2891,新北市烏來區,忠治里,1606,3.7447073474470733,3.1576673866090714,2.7857142857142856,4.220754716981132,612.0,582.0,339.0,33.0,0.9674711437565582,1.867816091954023,381,909,695,920
2892,新北市烏來區,烏來里,2396,3.833889816360601,3.6463815789473686,2.0034129692832763,3.984090909090909,864.0,914.0,509.0,83.0,0.9514695830485305,1.920253164556962,474,1165,872,1175
2893,新北市烏來區,福山里,629,3.340222575516693,3.6953642384105962,3.577777777777778,4.388349514563107,277.0,213.0,112.0,11.0,1.0098522167487685,1.766721044045677,122,281,237,309
2894,新北市瑞芳區,上天里,1343,3.35740878629933,3.2339331619537277,1.781725888324873,3.6916058394160585,411.0,502.0,312.0,69.0,1.197289156626506,2.030139103554869,281,592,431,583
2895,新北市瑞芳區,傑魚里,2010,3.4845771144278608,3.173469387755102,1.974264705882353,3.6600741656365883,713.0,726.0,404.0,79.0,1.0700460829493088,1.9214360041623308,418,905,659,915
2896,新北市瑞芳區,光復里,281,3.1387900355871885,3.8840579710144927,0.9726027397260274,3.375,60.0,101.0,90.0,24.0,1.1851851851851851,2.2836363636363637,74,131,92,116
2897,新北市瑞芳區,南雅里,270,3.348148148148148,4.811320754716981,3.6,3.8043478260869565,69.0,123.0,65.0,10.0,1.1231884057971016,2.059925093632959,78,171,142,174
2898,新北市瑞芳區,吉安里,3122,3.4996796925048046,3.0592592592592593,1.8852097130242826,3.5286916602907423,1029.0,1162.0,654.0,146.0,1.019492025989368,1.9722500835840855,605,1373,982,1362
2899,新北市瑞芳區,吉慶里,1743,3.476764199655766,2.919210053859964,1.987551867219917,3.5208333333333335,584.0,679.0,364.0,78.0,1.1367231638418078,1.9624633431085043,408,872,619,867
2900,新北市瑞芳區,基山里,461,3.125813449023861,3.8828828828828827,1.1214953271028036,3.3348017621145374,88.0,166.0,138.0,40.0,1.0421940928270041,2.300925925925926,76,144,99,141
2901,新北市瑞芳區,崇文里,327,3.3211009174311927,2.8807339449541285,0.8586956521739131,3.2982456140350878,59.0,130.0,99.0,29.0,1.1257861635220126,2.309148264984227,70,142,107,131
2902,新北市瑞芳區,弓橋里,290,3.3793103448275863,2.4424778761061945,1.0,3.318840579710145,84.0,111.0,80.0,11.0,1.390625,2.062937062937063,83,121,80,114
2903,新北市瑞芳區,新山里,381,3.2493438320209975,3.130434782608696,0.8130841121495327,3.3711340206185567,90.0,136.0,108.0,35.0,1.2228571428571429,2.238482384823848,91,184,135,172
2904,新北市瑞芳區,新峰里,3194,3.5422667501565437,3.14626218851571,2.162291169451074,3.627924528301887,1181.0,1239.0,539.0,89.0,1.0165929203539823,1.847769028871391,595,1405,1084,1439
